age,portalName,portalAddress,oldOwner,hunter,dtg
342,"Raccoon Creek State Park Old Field Trail","154 Patterson Farm Road, Clinton, PA 15026, USA","Azmael","Semiotiq","2017-03-02 12:16:56"
168,"Coraopolis Gardens","915-929 Pennsylvania Avenue, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-04 13:25:12"
146,"St. Paul AME Zion Church","601 5th Avenue, Coraopolis, PA 15108, USA","moses423","Semiotiq","2017-03-04 13:30:10"
61,"Blackburn United Methodist Church","910 Blackburn Road, Sewickley, PA 15143, USA","BigSilky","Semiotiq","2017-03-04 15:46:56"
75,"Franklin Park Baptist ","2470 Nicholson Road, Sewickley, PA 15143, USA","BigSilky","Semiotiq","2017-03-04 16:20:23"
169,"Coraopolis Memorial Library","601 School Street, Coraopolis, PA 15108, United States","Lipphil","Semiotiq","2017-03-04 21:12:36"
169,"Coraopolis Historical Society","1200-1222 State Avenue, Coraopolis, PA","Lipphil","Semiotiq","2017-03-04 21:12:39"
169,"Coraopolis United Methodist Church ","1205 Ridge Avenue, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-04 21:17:12"
108,"Faith United Methodist Church","316-398 Fairmont Avenue, Fairmont, WV 26554, USA","Vivisjuggernaut","Semiotiq","2017-03-07 14:41:57"
88,"Friends of the Lewis House Inc","17 Oak Hill Avenue, Oak Hill, WV 25901, USA","chase398","Semiotiq","2017-03-07 19:31:07"
62,"Circle K 1020 Peppers Ferry Rd.","1020 Peppers Ferry Rd.,Wytheville,VA,US,24382","BlackJiac","Semiotiq","2017-03-07 21:50:14"
76,"TWP Church","2301-2565 Spring Glen Road, Jacksonville, FL 32207, USA","BonnieLass1969","Semiotiq","2017-03-09 20:30:48"
66,"RIDC Park","216 RIDC Park West Drive, Coraopolis, PA 15108, USA","InLikeTim","Semiotiq","2017-03-11 15:04:47"
128,"Calvary Church Of The Nazarene","102 Evans Street, Brookville, PA 15825, USA","B5254T2","Semiotiq","2017-03-11 20:47:07"
62,"Uniontown Soldier Memorial","145 East Main Street, Uniontown, PA 15401, USA","TACNextGen","Semiotiq","2017-03-12 16:58:16"
62,"George C. Marshall","142-144 W Main St, Uniontown, PA","TACNextGen","Semiotiq","2017-03-12 16:58:21"
62,"George C Marshall Plaza Statue","157-173 West Main Street, Uniontown, PA 15401, USA","TACNextGen","Semiotiq","2017-03-12 16:59:49"
256,"Twin Lakes Park","County Road, Greensburg, PA 15601, USA","slipkid","Semiotiq","2017-03-15 17:10:12"
92,"Second United Presbyterian Church","300 Hay St, Pittsburgh, PA","karpouzaki","Semiotiq","2017-03-18 22:39:47"
92,"Biddle's Escape","401 Biddle Avenue, Pittsburgh, PA 15221, USA","KatrinaThorn","Semiotiq","2017-03-18 22:42:50"
92,"Mifflin Ave United Methodist","905 Mifflin Avenue, Pittsburgh, PA","karpouzaki","Semiotiq","2017-03-18 22:47:28"
87,"Temple Sinai Menorah","5531 Forbes Avenue, Pittsburgh, PA 15217, USA","Moses8080","Semiotiq","2017-03-18 23:21:39"
66,"Squirrel Hill Mural","2229 Murray Ave, Pittsburgh, PA","loopqool","Semiotiq","2017-03-19 13:06:35"
66,"All in a Day Mural","2342 Eldridge St, Pittsburgh, PA","loopqool","Semiotiq","2017-03-19 13:08:16"
151,"Knoxville Presbyterian Church","148-198 Jucunda Street, Pittsburgh, PA 15210, USA","bocoroth","Semiotiq","2017-03-19 13:47:01"
151,"Knoxville Christian Church","Charles St at Knox Ave, Pittsburgh, PA 15210, USA","bocoroth","Semiotiq","2017-03-19 13:47:23"
119,"Victorious Life Church ","214 Frye Farm Road, Greensburg, PA 15601, USA","patorobap","Semiotiq","2017-03-19 22:00:07"
63,"Youngwood Area Public Library","10 S 7th St, Youngwood, PA 15697, USA","freshness16025","Semiotiq","2017-03-19 23:18:41"
63,"Christ United Methodist Church","100 Lincoln Street, Youngwood, PA 15697, USA","freshness16025","Semiotiq","2017-03-19 23:36:26"
61,"Bible Baptist Temple","1415 Worthington Avenue, Clairton, PA 15025, USA","canaglaucus","Semiotiq","2017-03-21 20:37:47"
105,"US Post Office","1615 Pennsylvania 51, Jefferson Hills, PA 15025, USA","BlueRose0427","Semiotiq","2017-03-21 20:41:46"
191,"Castle Shannon Historical Msm","1003 Castle Shannon Boulevard, Castle Shannon, PA 15234, United States","slipkid","Semiotiq","2017-03-21 22:53:04"
119,"Bird Park","100-198 Beadling Road, Mount Lebanon, PA 15228, USA","RobSimpson","Semiotiq","2017-03-21 23:01:26"
277,"American Legion Post 447","301-303 Gumbert Street, McKeesport, PA 15133, USA","koumorileo","Semiotiq","2017-03-22 04:51:29"
125,"Mt. Olive Baptist Church ","1207 Hiland Avenue, Coraopolis, PA 15108, USA","moses423","Semiotiq","2017-03-22 12:25:11"
151,"Savannah Springs","1415 5th Avenue, Coraopolis, PA 15108, USA","moses423","Semiotiq","2017-03-22 19:45:23"
191,"Riverfront Park","1223 1st Avenue, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-26 19:25:07"
191,"Susie Letteri Park","103 Broadway Street, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-26 19:28:30"
86,"Coraopolis Post Office","914 5th Avenue, Coraopolis, PA 15108, United States","moses423","Semiotiq","2017-03-26 19:43:13"
193,"St. Joseph Rectory","1300-1398 Pennsylvania 51, Coraopolis, PA 15108, USA","vwratt","Semiotiq","2017-03-27 13:17:56"
155,"Charis247 Community Church","1323 State Avenue, Coraopolis, PA 15108, USA","moses423","Semiotiq","2017-03-27 14:15:12"
191,"Ronald L. Bliwas Field","2-98 Mulberry Street, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-27 14:23:52"
191,"Shelley Y. Jones Memorial Basketball Court","1001-1025 1st Avenue, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-27 14:26:59"
191,"Whosoever Wills Christian and Missionary Alliance Church","878 1st Avenue, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-27 14:30:58"
191,"Coraopolis Volunteer Fire Department","1015 State Avenue, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-27 14:49:12"
193,"Jesus, Class of 1958","1301 5th Avenue, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-28 19:15:20"
